Domain,Have_IP,Have_At_Sign,Length,Depth,Redirection,HTTPS_Domain,TinyUrl,Prefix_Suffix,Has_DNS,Domain_Age,Domain_End,IFrame,web_Forwarding,Check_Alert_Script,Label
automateinternetmarketing.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
us.battle.net.login.sseu.asia,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
remorquesfranc.net,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
paypal.com.cgi-bin-webscr-cmd-login-submit-dispatch-5885d80a13c0db1.f8e263663d3faee8da6a0.e86558d6153d8812c.d76bf2fd83f.e98e1164.80ea13c0affae.e89705.b4d2116493.c0d65b3e9f3.7f25e65a8.a8d3c02f6.karenvillamar.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1
infopak.org,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
fidelidadecieloagoracompremiostodasemana.comuv.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
eidraw.carsound-carwraps.co.za,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
ns0.allnorilsk.ru,0,0,1,22,0,0,0,0,1,1,1,1,1,1,1
simplexlimited.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
hncxin.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
bitly.com,0,0,0,2,0,0,1,0,1,1,1,1,1,1,1
my-paypal.de,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
eugenhriscu.ro,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
paypal.com.cy.cgi.bin.webscr.cmd.login.f14de58cef.welcompak.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
ekoservise.com,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1
